sample,metric,TP,FP,FN,prec,rec,f1
SAMN03024573,pangenome_mix,200450,2998,370,0.985,0.998,0.992
SAMN03024573,pangenome_skes,199356,4092,319,0.98,0.998,0.989
SAMN03024573,pangenome_uni,194426,9022,51,0.956,1.0,0.977
SAMN03024573,skesa,197028,0,3704,1.0,0.982,0.991
SAMN03024573,unicycler,199961,58785,0,0.773,1.0,0.872
SAMN03024573,pan_ske_diff,2557,4092,197118,0.385,0.013,0.025
SAMN03024573,pan_uni_diff,0,3538,194477,0.0,0.0,0.0
SAMN03024573,pan_ass_diff,0,1099,200820,0.0,0.0,0.0
SAMN02786856,pangenome_mix,125968,5701,5177,0.957,0.961,0.959
SAMN02786856,pangenome_skes,123546,8123,3114,0.938,0.975,0.957
SAMN02786856,pangenome_uni,122230,9439,2063,0.928,0.983,0.955
SAMN02786856,skesa,126660,0,0,1.0,1.0,1.0
SAMN02786856,unicycler,123983,0,310,1.0,0.998,0.999
SAMN02786856,pan_ske_diff,0,8123,126660,0.0,0.0,0.0
SAMN02786856,pan_uni_diff,310,9439,123983,0.032,0.002,0.005
SAMN02786856,pan_ass_diff,310,5701,130835,0.052,0.002,0.005
SAMN16357462,pangenome_mix,0,14515,0,0.0,0.0,0.0
SAMN16357462,pangenome_skes,0,14515,0,0.0,0.0,0.0
SAMN16357462,pangenome_uni,0,14515,0,0.0,0.0,0.0
SAMN16357462,skesa,0,14525,0,0.0,0.0,0.0
SAMN16357462,unicycler,0,0,0,0.0,0.0,0.0
SAMN16357462,pan_ske_diff,0,0,0,0.0,0.0,0.0
SAMN16357462,pan_uni_diff,0,14515,0,0.0,0.0,0.0
SAMN16357462,pan_ass_diff,0,0,0,0.0,0.0,0.0
SAMN16357465,pangenome_mix,147468,3947,9625,0.974,0.939,0.956
SAMN16357465,pangenome_skes,143856,7559,8600,0.95,0.944,0.947
SAMN16357465,pangenome_uni,143422,7993,4398,0.947,0.97,0.959
SAMN16357465,skesa,142523,0,10787,1.0,0.93,0.964
SAMN16357465,unicycler,135814,0,12931,1.0,0.913,0.955
SAMN16357465,pan_ske_diff,6132,6705,146324,0.478,0.04,0.074
SAMN16357465,pan_uni_diff,8640,7068,139180,0.55,0.058,0.106
SAMN16357465,pan_ass_diff,6629,2168,150464,0.754,0.042,0.08
SAMN11056345,pangenome_mix,349907,11756,17959,0.967,0.951,0.959
SAMN11056345,pangenome_skes,342523,19140,17009,0.947,0.953,0.95
SAMN11056345,pangenome_uni,339263,22400,8895,0.938,0.974,0.956
SAMN11056345,skesa,336823,8154,26122,0.976,0.928,0.952
SAMN11056345,unicycler,346075,213686,6700,0.618,0.981,0.758
SAMN11056345,pan_ske_diff,14291,10892,345241,0.567,0.04,0.074
SAMN11056345,pan_uni_diff,1635,10738,346523,0.132,0.005,0.009
