	sample	tool	precision	recall	f1
157	SAMN16357459	0.pbf.panstar.ske	0.0	0.0	0.0
158	SAMN16357461	0.pbf.panstar.ske	0.9875910651739265	0.9860555228565823	0.9868226966716817
159	SAMN04014847	0.pbf.panstar.ske	0.9789461250524412	0.8804744826373497	0.9271028614190601
160	SAMEA3357328	0.pbf.panstar.ske	0.9943901844631073	0.9907776646712179	0.9925806376160736
161	SAMN16357467	0.pbf.panstar.ske	0.9647570371500496	0.9120691802870274	0.9376735596236283
162	SAMN16357458	0.pbf.panstar.ske	0.9945999743794405	0.987341895976601	0.9909576452569365
163	SAMN16357451	0.pbf.panstar.ske	0.9741266129424402	0.938953773259307	0.9562168588959185
164	SAMN16357456	0.pbf.panstar.ske	0.9554179867599037	0.9779991456784184	0.9665766989853531
165	SAMN11056490	0.pbf.panstar.ske	0.8546966662067457	0.7292282336894749	0.7869930452877718
166	SAMN10163228	0.pbf.panstar.ske	0.3113388092643813	0.9369416710457172	0.4673730124195924
167	SAMN07312483	0.pbf.panstar.ske	0.9906616408766271	0.9610856524645534	0.9756495553926017
168	SAMEA3357077	0.pbf.panstar.ske	0.6823404419528424	0.9875325885207604	0.8070474947463283
169	SAMEA3357272	0.pbf.panstar.ske	0.9746504433492625	0.9854742970925909	0.9800324854366985
170	SAMN16357470	0.pbf.panstar.ske	0.9746355612764132	0.9823758787935107	0.9784904128900882
171	SAMN16357448	0.pbf.panstar.ske	1.0	0.9863495527349235	0.9931278725608583
172	SAMN04014858	0.pbf.panstar.ske	0.6304176812137104	0.524676539360873	0.572707163518802
173	SAMN04014860	0.pbf.panstar.ske	0.9718600913335205	0.9976952490702425	0.9846082270383437
174	SAMN04014856	0.pbf.panstar.ske	0.9936933196389939	0.8644154145629296	0.9245571123296918
175	SAMN03024583	0.pbf.panstar.ske	0.9238116429783328	0.8594013599809561	0.8904432404028922
176	SAMN02991226	0.pbf.panstar.ske	0.962418868145796	0.7611130531557433	0.8500098595168238
177	SAMN16357245	0.pbf.panstar.ske	0.9946759491134929	0.9949251039527078	0.9948005109324517
178	SAMN16357453	0.pbf.panstar.ske	0.9769994046437785	0.9250237999799579	0.9503014470746444
179	SAMN11056345	0.pbf.panstar.ske	0.9769317599929839	0.9604680529132317	0.9686299535066374
180	SAMN16357454	0.pbf.panstar.ske	0.9180969675261661	0.99514696787067	0.9550704921015919
181	SAMN16357462	0.pbf.panstar.ske	0.0	0.0	0.0
182	SAMN16357465	0.pbf.panstar.ske	0.9905755343205194	0.8967411760821474	0.9413257083441644
183	SAMN16357464	0.pbf.panstar.ske	0.9958117041206229	0.9705762880917621	0.9830320681894559
184	SAMN16357463	0.pbf.panstar.ske	0.9483444629133051	0.9818199261284597	0.9647919066459658
185	SAMN16357452	0.pbf.panstar.ske	1.0	0.9882532201048312	0.9940919095332589
186	SAMN11056344	0.pbf.panstar.ske	0.8853582355013084	0.9801487554300888	0.9303452378949557
187	SAMD00056131	0.pbf.panstar.ske	0.807816099291912	0.8926551679540992	0.8481192592654653
188	SAMEA3357268	0.pbf.panstar.ske	0.9838595547935651	0.9955857254680542	0.9896879074003679
189	SAMN07312488	0.pbf.panstar.ske	0.9871791449797589	0.979149874981615	0.9831481166975566
190	SAMN16357205	0.pbf.panstar.ske	0.15299828269021834	1.0	0.2653920391507212
191	SAMN03996301	0.pbf.panstar.ske	0.9368436090532459	0.9783880098213068	0.9571652275812312
192	SAMEA3357080	0.pbf.pan.uni	0.9835760057958429	0.9776402756293067	0.9805991583038155
193	SAMN10163233	0.pbf.pan.uni	0.29709829741385435	0.9823286679763505	0.4562170137903638
194	SAMN07312490	0.pbf.pan.uni	0.9657093897165421	0.9665855697138613	0.966147281067634
195	SAMEA3357223	0.pbf.pan.uni	0.24857939315964406	0.9684881079810981	0.3956168181939371
196	SAMN04014852	0.pbf.pan.uni	0.9878660864457912	0.8073507592948158	0.8885326993960787
